"TEAM"	"POS.RANK"	"PLAYER"	"AGE"	"GP"	"W"	"L"	"MIN"	"PTS"	"FGM"	"FGA"	"FG_PCT"	"2PA"	"2PM"	"FG2_PCT"	"3PA"	"3PM"	"FG3_PCT"	"2PT_ATT_PER"	"3PT_ATT_PER"	"FTM"	"FTA"	"FT_PCT"	"PER_PTS_FT"	"PER_PTS_2P"	"PER_PTS_3P"	"OREB"	"DREB"	"REB"	"AST"	"TOV"	"STL"	"BLK"	"PF"	"FP"	"DD2"	"TD3"	"X..."	"POSITION"	"PLAYER_ID"	"RANK"	"color"	"team_color"
"29"	"BKN"	18	"Spencer Dinwiddie"	26	64	30	34	31.2	20.6	6.6	16	41.5	9.7	4.7	48.45	6.3	1.9	30.8	60.62	39.38	5.4	7	77.8	26.21	45.63	27.67	0.5	3	3.5	6.8	2.7	0.6	0.3	2.8	35	9	0	0.8	"Guard"	203915	24	"#7570B3"	"#061922"
"30"	"BKN"	164	"Wilson Chandler"	32	35	16	19	21	5.9	2.1	5.2	40.4	1.7	1	58.82	3.5	1.1	30.6	32.69	67.31	0.6	0.7	87	10.17	33.9	55.93	0.3	3.8	4.1	1.1	1	0.5	0.3	2.3	13.9	0	0	-3.4	"Forward"	NA	NA	"#D95F02"	"#061922"
"31"	"BKN"	201	"Iman Shumpert"	29	13	9	4	18.5	4.2	1.6	4.9	32.8	2.4	1	41.67	2.5	0.6	24.2	48.98	51.02	0.3	0.5	57.1	7.14	47.62	42.86	0.7	1.9	2.6	0.9	0.8	0.9	0.2	1.6	11.1	0	0	-4	"Guard"	NA	NA	"#7570B3"	"#061922"
"32"	"BKN"	285	"Henry Ellenson"	23	5	2	3	3	0.4	0.2	1.4	14.3	0.6	0.2	33.33	0.8	0	0	42.86	57.14	0	0	0	0	100	0	0.4	0.8	1.2	0.2	0	0	0	0.2	2.1	0	0	2.4	"Forward"	NA	NA	"#D95F02"	"#061922"
"33"	"BKN"	215	"Theo Pinson"	24	33	15	18	11.1	3.6	1.4	4.7	29	2.3	0.9	39.13	2.4	0.5	18.8	48.94	51.06	0.5	0.5	93.8	13.89	50	41.67	0.3	1.3	1.6	1.7	1	0.5	0.1	1.1	9.1	0	0	-1.2	"Forward"	NA	NA	"#D95F02"	"#061922"
"34"	"BKN"	33	"Caris LeVert"	25	39	18	21	29	17.7	6.5	15.6	41.4	10.8	4.7	43.52	4.8	1.8	38.1	69.23	30.77	3	4.1	72	16.95	53.11	30.51	1	3.1	4.1	4.1	2.5	1.1	0.2	1.8	30.2	1	1	-0.4	"Guard"	NA	NA	"#7570B3"	"#061922"
"35"	"BKN"	97	"Henry Ellenson"	23	5	2	3	3	0.4	0.2	1.4	14.3	0.6	0.2	33.33	0.8	0	0	42.86	57.14	0	0	0	0	100	0	0.4	0.8	1.2	0.2	0	0	0	0.2	2.1	0	0	2.4	"Center"	NA	NA	"#1B9E77"	"#061922"
"36"	"BKN"	204	"Dzanan Musa"	20	35	17	18	11.5	4.2	1.4	4	36	2.1	1	47.62	1.9	0.4	23.1	52.5	47.5	0.9	1.3	75	21.43	47.62	28.57	0.5	1.5	2	0.9	0.8	0.4	0	0.7	8.4	0	0	-1.2	"Forward"	NA	NA	"#D95F02"	"#061922"
"37"	"BKN"	256	"Justin Anderson"	26	3	2	1	5.6	1	0.3	2	16.7	1	0.3	30	1	0	0	50	50	0.3	0.7	50	30	60	0	0	0.7	0.7	0	0	0	0.3	0.7	2.8	0	0	-2.7	"Guard"	NA	NA	"#7570B3"	"#061922"
"38"	"BKN"	208	"Rodions Kurucs"	22	39	13	26	12.8	4.2	1.5	3.4	44.8	1.7	0.9	52.94	1.7	0.6	38.5	50	50	0.4	0.7	60.7	9.52	42.86	42.86	0.5	2	2.5	0.8	0.9	0.4	0.1	1.7	9	0	0	-0.7	"Forward"	NA	NA	"#D95F02"	"#061922"
"39"	"BKN"	211	"Theo Pinson"	24	33	15	18	11.1	3.6	1.4	4.7	29	2.3	0.9	39.13	2.4	0.5	18.8	48.94	51.06	0.5	0.5	93.8	13.89	50	41.67	0.3	1.3	1.6	1.7	1	0.5	0.1	1.1	9.1	0	0	-1.2	"Guard"	NA	NA	"#7570B3"	"#061922"
"40"	"BKN"	66	"Taurean Prince"	25	64	30	34	29	12.1	4.3	11.5	37.6	4.8	2	41.67	6.7	2.3	33.9	41.74	58.26	1.1	1.4	79.8	9.09	33.06	57.02	0.8	5.2	6	1.8	2	0.9	0.4	2.5	23.8	8	0	1.1	"Forward"	1627752	103	"#D95F02"	"#061922"
"41"	"BKN"	150	"Timothe Luwawu-Cabarrot"	24	39	15	24	17.2	6.3	2	4.9	40.6	2.1	1	47.62	2.8	1	35.8	42.86	57.14	1.3	1.6	83.9	20.63	31.75	47.62	0.6	1.7	2.3	0.6	0.8	0.4	0.2	2.1	10.9	0	0	-1.9	"Guard"	NA	NA	"#7570B3"	"#061922"
"42"	"BKN"	150	"Timothe Luwawu-Cabarrot"	24	39	15	24	17.2	6.3	2	4.9	40.6	2.1	1	47.62	2.8	1	35.8	42.86	57.14	1.3	1.6	83.9	20.63	31.75	47.62	0.6	1.7	2.3	0.6	0.8	0.4	0.2	2.1	10.9	0	0	-1.9	"Forward"	NA	NA	"#D95F02"	"#061922"
"43"	"BKN"	90	"Garrett Temple"	33	55	26	29	28.1	10.3	3.6	9.5	37.8	3.2	1.6	50	6.3	2	32.4	33.68	66.32	1	1.3	76.7	9.71	31.07	58.25	0.5	2.9	3.5	2.6	1	0.8	0.5	1.7	21	1	0	-0.8	"Forward"	202066	133	"#D95F02"	"#061922"
"44"	"BKN"	197	"Dzanan Musa"	20	35	17	18	11.5	4.2	1.4	4	36	2.1	1	47.62	1.9	0.4	23.1	52.5	47.5	0.9	1.3	75	21.43	47.62	28.57	0.5	1.5	2	0.9	0.8	0.4	0	0.7	8.4	0	0	-1.2	"Guard"	NA	NA	"#7570B3"	"#061922"
