"Player"	"TEAM"	"AGE"	"FGM"	"FGA"	"FG."	"FGM.1"	"FGA.1"	"FG..1"	"FGM.2"	"FGA.2"	"FG..2"	"FGM.3"	"FGA.3"	"FG..3"	"FGM.4"	"FGA.4"	"FG..4"	"FGM.5"	"FGA.5"	"FG..5"	"YEAR"
"170"	"Gary Payton II"	"WAS"	27	1.2	2.1	57.9	0	0.3	0	0	0.1	33.3	0	0.1	50	0.3	1	28	0.2	0.8	28.6	"2019-20"
"171"	"Gary Trent Jr."	"POR"	21	0.5	1	56	0.1	0.4	36.8	0.2	0.5	45.8	0.4	0.9	46.7	0.8	2.2	36.4	0.8	1.9	42	"2019-20"
"172"	"George Hill"	"MIL"	33	1.6	2.4	67.5	0.1	0.4	23.8	0.1	0.3	35.3	0.1	0.4	36.8	0.6	1	55.8	0.9	2	46.6	"2019-20"
"173"	"Georges Niang"	"UTA"	26	0.5	0.7	69	0.2	0.4	47.8	0	0.2	22.2	0	0.1	16.7	0.9	2	43	0.5	1.2	39.4	"2019-20"
"174"	"Giannis Antetokounmpo"	"MIL"	25	7.8	11	71.1	0.6	1.8	35.6	0.5	1.3	42.5	0.4	1	40.7	0.3	0.6	45.7	1.2	4.3	29	"2019-20"
"175"	"Glenn Robinson III"	"PHI"	26	1.8	2.7	65.6	0.5	1	43.5	0.5	1	45	0.6	1.3	46.8	0.8	2	39	0.7	1.6	39.8	"2019-20"
"176"	"Goga Bitadze"	"IND"	20	0.6	0.7	77.8	0.2	0.4	52.9	0.1	0.4	31.6	0.3	0.5	63.2	0	0.3	16.7	0.1	0.5	16	"2019-20"
"177"	"Goran Dragic"	"MIA"	33	1.8	3	60.7	0.4	1.1	33.3	0.4	1.2	34.9	0.5	1.1	46.6	0.9	2	42.6	1.4	3.9	37	"2019-20"
"178"	"Gordon Hayward"	"BOS"	29	2.5	3.8	67.1	0.8	1.6	46.6	1	2	50	0.6	1.5	41.2	0.8	1.8	43.8	1.1	2.8	39.4	"2019-20"
"179"	"Gorgui Dieng"	"MEM"	30	1.2	1.9	63	0.2	0.5	41.4	0.2	0.4	45.8	0.1	0.4	40	0.6	1.4	39	0.5	1.4	34.2	"2019-20"
"180"	"Grant Williams"	"BOS"	21	0.7	1.1	65.7	0.1	0.3	42.9	0	0.2	30	0	0.1	16.7	0.2	0.7	28.3	0.1	0.6	21.6	"2019-20"
"181"	"Grayson Allen"	"MEM"	24	1	1.4	69	0.3	0.9	38.5	0.2	0.6	43.8	0	0	0	0.5	1.3	40	0.6	1.7	32.7	"2019-20"
"182"	"Hamidou Diallo"	"OKC"	21	2	3.4	58.1	0.2	0.8	25.8	0.1	0.3	30	0.1	0.3	36.4	0.2	0.8	29	0	0.2	0	"2019-20"
"183"	"Harrison Barnes"	"SAC"	27	2.6	4.4	59.4	0.7	1.9	37.5	0.2	0.7	28.6	0.1	0.3	38.1	0.8	2	37.8	0.7	1.8	38.6	"2019-20"
